time,open,high,low,close,Volume
2008-01-24T18:30:00Z,0.626,0.647,0.6245,0.64675,28735195
2008-01-25T14:30:00Z,0.671,0.6865,0.63175,0.63675,46625324
2008-01-25T18:30:00Z,0.637,0.637,0.62075,0.624,25769503
2008-01-28T14:30:00Z,0.62,0.62775,0.60304,0.61725,31663742
2008-01-28T18:30:00Z,0.61725,0.62,0.60775,0.616,27571799
2008-01-29T14:30:00Z,0.62625,0.63725,0.611,0.63125,28366073
2008-01-29T18:30:00Z,0.63125,0.63775,0.629,0.63475,12622486
2008-01-30T14:30:00Z,0.6245,0.63375,0.6125,0.61325,22265790
2008-01-30T18:30:00Z,0.6135,0.63925,0.61175,0.629,32011784
2008-01-31T14:30:00Z,0.616,0.62025,0.59575,0.6095,37636139
2008-01-31T18:30:00Z,0.6095,0.62625,0.609,0.616,23066396
2008-02-01T14:30:00Z,0.6115,0.6525,0.60825,0.64875,33578771
2008-02-01T18:30:00Z,0.6487475,0.675,0.648,0.6725,25821532
2008-02-04T14:30:00Z,0.685,0.69,0.651,0.651,31143134
2008-02-04T18:30:00Z,0.65125,0.65775,0.647,0.65075,21896552
2008-02-05T14:30:00Z,0.6375,0.63775,0.6125,0.61625,31358907
2008-02-05T18:30:00Z,0.61625,0.61875,0.6095,0.60975,19179267
2008-02-06T14:30:00Z,0.6155,0.63325,0.5965,0.6285,33409158
2008-02-06T18:30:00Z,0.62825,0.62825,0.60525,0.6075,24125921
2008-02-07T14:30:00Z,0.59275,0.62275,0.5775,0.6205,38183709
2008-02-07T18:30:00Z,0.62025,0.631,0.605,0.61425,32923727
2008-02-08T14:30:00Z,0.608,0.6295,0.6,0.6179,24447808
2008-02-08T18:30:00Z,0.61775,0.625,0.61,0.62475,17329677
2008-02-11T14:30:00Z,0.63,0.64025,0.62375,0.635,31199112
2008-02-11T18:30:00Z,0.63525,0.63675,0.6225,0.62625,21035808
2008-02-12T14:30:00Z,0.63625,0.659,0.63275,0.654625,35880075
2008-02-12T18:30:00Z,0.6547,0.6555,0.641,0.65,28836692
2008-02-13T14:30:00Z,0.6555,0.6675,0.648,0.66725,38432535
2008-02-13T18:30:00Z,0.66725,0.6775,0.66625,0.6755,30006629
2008-02-14T14:30:00Z,0.655,0.65625,0.58275,0.5865,152341473
2008-02-14T18:30:00Z,0.5865,0.5868,0.56375,0.5655,77501897
2008-02-15T14:30:00Z,0.562,0.57825,0.54775,0.549,54497262
2008-02-15T18:30:00Z,0.54875,0.56125,0.54875,0.557,31725361
2008-02-19T14:30:00Z,0.56725,0.568,0.5575,0.56675,29623860
2008-02-19T18:30:00Z,0.56625,0.56625,0.54375,0.54825,24520283
2008-02-20T14:30:00Z,0.5325,0.546,0.53025,0.541,44105637
2008-02-20T18:30:00Z,0.541,0.5525,0.539,0.545,32626669
2008-02-21T14:30:00Z,0.55025,0.55275,0.5365,0.5415,36818376
2008-02-21T18:30:00Z,0.542,0.542,0.529,0.53225,23861334
2008-02-22T14:30:00Z,0.5365,0.54575,0.5325,0.541,39654174
2008-02-22T18:30:00Z,0.541,0.559,0.54,0.5585,29541168
2008-02-25T14:30:00Z,0.556,0.564,0.543,0.55,38813380
2008-02-25T18:30:00Z,0.55,0.56375,0.5485,0.558,23241741
2008-02-26T14:30:00Z,0.5545,0.57,0.546,0.56425,35131112
2008-02-26T18:30:00Z,0.5640025,0.571,0.5595,0.5625,19335967
2008-02-27T14:30:00Z,0.55975,0.57575,0.55625,0.573,31284908
2008-02-27T18:30:00Z,0.573,0.575,0.5635,0.572,20723355
2008-02-28T14:30:00Z,0.56475,0.56725,0.55025,0.5505,27206565
2008-02-28T18:30:00Z,0.55075,0.55625,0.54975,0.5505,17150549
2008-02-29T14:30:00Z,0.5395,0.548,0.53325,0.54325,26825843
