time,open,high,low,close,Volume
2013-01-02T11:00:00Z,1404.9,1457.1,1404.9,1455.9,1577
2013-01-02T15:00:00Z,1455.9,1457.4,1448.9,1450.4,1453
2013-01-02T19:00:00Z,1450.4,1462.6,1449.9,1462.1,800
2013-01-02T23:00:00Z,1461.2,1461.2,1457.9,1458.1,250
2013-01-03T03:00:00Z,1458.1,1458.6,1457.1,1457.6,166
2013-01-03T07:00:00Z,1457.6,1459.4,1457.1,1458.1,419
2013-01-03T11:00:00Z,1458.1,1461.6,1457.1,1459.4,724
2013-01-03T15:00:00Z,1459.4,1465.1,1459.4,1464.6,838
2013-01-03T19:00:00Z,1464.6,1464.6,1454.9,1459.1,1027
2013-01-03T23:00:00Z,1459.3,1460.1,1457.6,1457.9,323
2013-01-04T03:00:00Z,1457.9,1458.1,1456.4,1457.4,201
2013-01-04T07:00:00Z,1457.4,1461.1,1457.1,1458.6,547
2013-01-04T11:00:00Z,1458.6,1462.9,1456,1462.6,1033
2013-01-04T15:00:00Z,1462.6,1464.4,1458.9,1463.4,1162
2013-01-04T19:00:00Z,1463.4,1467.6,1462.9,1462.9,545
2013-01-06T23:00:00Z,1462.9,1465.1,1462.1,1462.1,270
2013-01-07T03:00:00Z,1462.1,1462.6,1459.6,1461.4,235
2013-01-07T07:00:00Z,1461.4,1462.6,1460.4,1461.1,441
2013-01-07T11:00:00Z,1461.1,1461.6,1457.4,1458.6,516
2013-01-07T15:00:00Z,1458.6,1460.9,1455.6,1457.1,668
2013-01-07T19:00:00Z,1457.1,1462.4,1457.1,1461.1,371
2013-01-07T23:00:00Z,1461.7,1461.7,1459.9,1461.1,188
2013-01-08T03:00:00Z,1461.1,1461.4,1456.6,1456.6,242
2013-01-08T07:00:00Z,1456.6,1459.9,1455.6,1459.9,467
2013-01-08T11:00:00Z,1459.9,1461.1,1456.4,1456.4,632
2013-01-08T15:00:00Z,1456.4,1457.1,1450.9,1454.9,764
2013-01-08T19:00:00Z,1454.9,1457.9,1453.4,1456.1,419
2013-01-08T23:00:00Z,1456.6,1460.9,1456.6,1459.1,244
2013-01-09T03:00:00Z,1459.1,1459.4,1456.9,1458.1,181
2013-01-09T07:00:00Z,1458.1,1460.1,1456.9,1457.1,423
2013-01-09T11:00:00Z,1457.1,1463.1,1456.6,1462.6,670
2013-01-09T15:00:00Z,1462.6,1464.1,1458.4,1460.1,625
2013-01-09T19:00:00Z,1460.1,1461.4,1457.6,1460.9,327
2013-01-09T23:00:00Z,1461.7,1464.4,1459.6,1463.1,259
2013-01-10T03:00:00Z,1463.1,1464.9,1462.9,1464.1,178
2013-01-10T07:00:00Z,1464.1,1465.6,1461.9,1464.4,585
